iter	MultiClass
0	1.654712988
1	1.476416359
2	1.339328753
3	1.227525561
4	1.139285121
5	1.063978104
6	1.002533874
7	0.9463253173
8	0.8943651008
9	0.8479540403
10	0.8110952874
11	0.7751735145
12	0.7463031607
13	0.718604204
14	0.691202781
15	0.6664233523
16	0.6474206782
17	0.627111852
18	0.6108849612
19	0.5922054543
20	0.5742764742
21	0.5599601163
22	0.5456564599
23	0.5341952985
24	0.5220147912
25	0.5107235112
26	0.5026204651
27	0.4923008941
28	0.4836634592
29	0.4775207637
30	0.4703722014
31	0.4645461015
32	0.4575133661
33	0.4508683909
34	0.4454885038
35	0.4410364601
36	0.4374524702
37	0.4327072742
38	0.4266554014
39	0.422098957
40	0.4182084573
41	0.4133680124
42	0.4090986186
43	0.4050254694
44	0.4014796503
45	0.3987530193
46	0.3956682329
47	0.391469462
48	0.3887065573
49	0.3853947602
50	0.3830076118
51	0.3805974863
52	0.3788292439
53	0.3756160031
54	0.372925731
55	0.3701599687
56	0.3684628849
57	0.3664989851
58	0.3645762296
59	0.3625018469
60	0.3601926865
61	0.3581693655
62	0.3563296497
63	0.3541311456
64	0.3527222771
65	0.3509402917
66	0.3494166991
67	0.3482024843
68	0.3468382224
69	0.3451115117
70	0.3431529035
71	0.3416312914
72	0.3400806218
73	0.3388212399
74	0.3372423596
75	0.3363852592
76	0.3354140546
77	0.3343608086
78	0.3334180402
79	0.3324478576
80	0.3312903997
81	0.3300769501
82	0.3285046952
83	0.3276642307
84	0.3266586359
85	0.32582524
86	0.3240793471
87	0.3220988349
88	0.3207400209
89	0.3195657267
90	0.3184551486
91	0.3165121335
92	0.3149877692
93	0.3135742969
94	0.3125447692
95	0.3116646543
96	0.3103957751
97	0.30924302
98	0.3077008478
99	0.3063090386
100	0.3056758144
101	0.3045587244
102	0.3039581396
103	0.3030365499
104	0.3019444138
105	0.3012677298
106	0.3007067323
107	0.3001012319
108	0.2994622888
109	0.2987285183
110	0.2982725679
111	0.2976598156
112	0.2972472953
113	0.2966462093
114	0.2956746522
115	0.2951190452
116	0.2944070795
117	0.2937735682
118	0.2928775169
119	0.2922775254
120	0.2912744592
121	0.2905301204
122	0.2895030481
123	0.2886184284
124	0.2878667726
125	0.2871420084
126	0.2866175375
127	0.285758609
128	0.2850398464
129	0.2843851733
130	0.2835791525
131	0.2827094731
132	0.2822775872
133	0.2818719754
134	0.2811779109
135	0.2802690639
136	0.2795680762
137	0.2790128097
138	0.2783435086
139	0.2777635467
140	0.2772449728
141	0.2767448637
142	0.2756582686
143	0.2749040006
144	0.2742654438
145	0.2736560123
