iter	Passed	Remaining
0	47	9478
1	81	8076
2	148	9719
3	194	9515
4	215	8386
5	241	7802
6	265	7326
7	325	7808
8	362	7686
9	381	7249
10	403	6926
11	425	6673
12	445	6408
13	469	6231
14	514	6347
15	534	6149
16	557	5997
17	577	5840
18	597	5692
19	616	5544
20	673	5740
21	827	6695
22	868	6686
23	922	6768
24	963	6746
25	1003	6712
26	1056	6770
27	1093	6718
28	1116	6581
29	1162	6590
30	1220	6654
31	1253	6580
32	1289	6527
33	1326	6478
34	1400	6603
35	1438	6554
36	1483	6535
37	1639	6991
38	1674	6911
39	1743	6973
40	1817	7048
41	1861	7001
42	1886	6886
43	1929	6841
44	1950	6717
45	1968	6588
46	2022	6585
47	2043	6471
48	2066	6366
49	2105	6315
50	2139	6249
51	2158	6143
52	2175	6035
53	2193	5930
54	2214	5838
55	2275	5851
56	2437	6114
57	2477	6065
58	2542	6076
59	2605	6078
60	2640	6017
61	2666	5935
62	2687	5843
63	2714	5769
64	2740	5692
65	2761	5606
66	2782	5523
67	2806	5447
68	2823	5360
69	2877	5344
70	2939	5340
71	2961	5264
72	2980	5185
73	2999	5107
74	3017	5029
75	3038	4957
76	3056	4882
77	3116	4873
78	3134	4801
79	3158	4737
80	3344	4913
81	3381	4865
82	3419	4819
83	3446	4759
84	3523	4767
85	3543	4697
86	3566	4632
87	3587	4565
88	3621	4516
89	3648	4459
90	3670	4396
91	3688	4329
92	3742	4305
93	3769	4251
94	3791	4190
95	3841	4161
96	3860	4099
97	3879	4037
98	3896	3975
99	3913	3913
100	3930	3853
101	3953	3798
102	3971	3739
103	4181	3859
104	4214	3813
105	4259	3777
106	4334	3767
107	4362	3715
108	4401	3674
109	4437	3630
110	4483	3594
111	4503	3538
112	4522	3481
113	4545	3429
114	4565	3374
115	4581	3317
116	4600	3263
117	4631	3218
118	4668	3177
119	4695	3130
120	4713	3077
121	4766	3047
122	4786	2996
123	4817	2952
124	4992	2995
125	5028	2952
126	5072	2915
127	5099	2868
128	5175	2848
129	5194	2796
130	5213	2746
131	5232	2695
132	5298	2669
133	5327	2623
134	5349	2575
135	5369	2526
136	5389	2478
137	5410	2430
138	5435	2385
139	5505	2359
140	5531	2314
141	5549	2266
142	5568	2219
143	5595	2176
144	5612	2128
145	5631	2082
146	5670	2044
147	5855	2057
148	5884	2014
149	5932	1977
150	6076	1971
151	6136	1937
152	6176	1897
153	6197	1851
154	6226	1807
155	6245	1761
156	6264	1715
157	6282	1670
158	6302	1625
159	6320	1580
160	6384	1546
161	6542	1534
162	6609	1500
163	6649	1459
164	6769	1435
165	6841	1401
166	6877	1359
167	6900	1314
168	6924	1270
169	6942	1225
170	6960	1180
171	7012	1141
172	7035	1098
173	7078	1057
174	7112	1016
175	7132	972
176	7151	929
177	7170	886
178	7228	847
179	7252	805
180	7270	763
181	7289	720
182	7352	683
183	7430	646
184	7478	606
185	7498	564
186	7544	524
187	7567	483
188	7620	443
189	7640	402
190	7665	361
191	7696	320
192	7730	280
193	7765	240
194	7785	199
195	7802	159
196	7818	119
197	7873	79
198	7894	39
199	7913	0
